会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K008_001a,830,I,IC02_鶴賀,に,ニ,に,助詞-格助詞,,,和,,ニ,に。,ニ,ニ,274.788,275.500,274.788,275.500,0,I
K008_001a,831,B,IC01_深石,あー,アア,ああ,感動詞-一般,,,和,,アア,あー ,アー,アー,275.615,275.922,275.615,275.922,0,B
K008_001a,832,I,IC01_深石,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,275.615,275.922,275.615,275.922,0,B
K008_001a,833,B,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん ,ウン,ウン,275.835,276.239,275.835,276.239,0,B
K008_001a,834,I,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,275.835,276.239,275.835,276.239,0,B
K008_001a,835,B,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい ,ハイ,ハイ,275.922,276.467,275.922,276.467,0,B
K008_001a,836,I,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい ,ハイ,ハイ,275.922,276.467,275.922,276.467,0,B
K008_001a,837,I,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,275.922,276.467,275.922,276.467,0,B
K008_001a,838,B,IC01_深石,ぼーっとし,ボウットスル,ぼうっとする,動詞-一般,サ行変格,連用形-一般,和,,ボウットスル,ぼーっとし,ボーットシ,ボーットシ,276.467,277.286,276.467,277.286,0,B
K008_001a,839,I,IC01_深石,ちゃっ,チャウ,ちゃう,助動詞,五段-ワア行,連用形-促音便,和,,チャウ,ちゃっ,チャッ,チャッ,276.467,277.286,276.467,277.286,0,I
K008_001a,840,I,IC01_深石,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た。,タ,タ,276.467,277.286,276.467,277.286,0,I
K008_001a,841,B,IC02_鶴賀,で,デ,で,接続詞,,,和,,デ,で。,デ,デ,276.879,277.044,276.879,277.044,0,B
K008_001a,842,B,IC03_久美,ごめんなさい,ゴメンナサイ,御免為さい,感動詞-一般,,,混,,ゴメンナサル,(T (U ごめんなさい))。,ゴメンナサイ,ゴメンナサイ,284.506,285.468,284.506,285.468,0,B
K008_001a,843,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,(T うん)。,ウン,ウン,285.473,285.768,285.473,285.768,0,B
K008_001a,844,B,IC01_深石,おいしい,オイシイ,美味しい,形容詞-一般,形容詞,終止形-一般,和,,オイシイ,おいしい。,オイシー,オイシー,290.342,290.825,290.342,290.825,0,B
K008_001a,845,B,IC01_深石,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,291.169,291.903,291.169,291.903,0,B
